annee;saison;8.25;8,75;9,25;9,75;10,25;10,75;11,25;11,75;12,25;12,75;13,25;13,75;14,25;14,75;15,25;15,75;16,25;16,75;17,25;17,75;18,25;18,75;19,25;19,75;20,25;20,75;21,25;21,75;22,25;22,75;23,25;23,75;24,25;24,75;25,25;25,75;26,25;26,75;primi;multi;femelles
1997;1;0;0;0;0;0;334420,7;501631,1;2006524;2711772;2842576;1003262;1577706;1039668;3526238;3249809;4769523;7103703;5678387;6951313;10994002;13189323;12702512;12680926;15371113;18279736;25659867;29659385;25841898;21623943;15255129;8835088;3671863;945270,3;814466;0;0;0;0;80741675,88;314360019,7;
1997;2;0;62242,96;0;0;0;0;80592,85;0;0;190810,9;257136;516293,6;1073369;1463155;1018319;2460013;3394628;3699740;7312901;9532146;10368750;12339955;12741948;13785849;15766388;18038740;26293646;26190503;26748391;19711988;11323776;6941385;2856874;685643,4;190810,9;128568;0;0;110053012,3;31208188,09;
1997;3;0;0;0;0;0;0;0;0;0;0;0;3014,612;3014,612;140752,4;9043,835;117951,8;27131,5;33160,73;71034,37;71034,37;179942,4;258704,3;167883,9;443359,6;217816;240616,6;381369;487262,5;809655,6;531165,3;525136,1;425271,9;331437;46917,48;0;0;0;0;0;4107424;
1997;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1998;1;1009477,5;721055,3;721055,3;432633,2;0;0;432633,2;721055,3;576844,2;1442111;2053972;1730533;2541202;3585696;2541202;4470543;5748862;8773151;11637792;9494207;12518496;12428882;15488188;22616277;15990855;22362872;15827064;11738700;11738700;6968442;5814753;4446820;2934675;378036,1;378036,1;0;0;0;42437947,84;341331336,9;
1998;2;0;298726,7;732872,3;1497659;1716744;2393839;3162650;2469598;2455946;2485555;1296834;1334351;1752540;2490020;2660651;2993596;2997622;4027816;4042052;5888786;9027746;13309622;16625132;14725162;18311272;20679022;20621524;19835099;16978152;15299098;11907151;8229641;5382906;3473482;1665575;356808,6;0;0;142108861,5;20478602,65;
1998;3;0;0;25928,12;129531,2;207315,6;323937,4;466378;764496,7;246262,4;349974,9;129640,6;246153,1;699512,3;841952,9;2189121;1968896;1839365;1191818;712531;1748781;1735981;3238608;4624724;4391480;3886264;4482064;5246561;6619548;5298308;4495192;3458724;2927799;2254215;1606340;1127053;414521,8;51856,24;90693,72;0;60170746;
1998;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1999;1;237928,6;0;0;228551,8;228551,8;914207,4;1152136;1847168;3913512;2560954;5121909;6311552;10024642;13214991;9833597;11405330;9176072;4893357;3722467;5103155;6054869;10187556;11862434;18640466;21238927;21855436;11480344;8928767;4664805;2817636;932961;704409,1;457103,7;0;0;0;0;0;97868342,78;394154776,2;
1999;2;0;0;0;130037,4;0;0;163897,1;327794,2;655588,4;1932905;3012751;2255868;6931216;6786807;11789950;11056978;13582461;14339344;11129121;12185339;5118969;7418645;12126429;12305267;20846303;22527696;20990588;19038034;17987786;13942567;11031965;6438708;4718055;2424473;1903754;472488;96462,51;0;141584807,5;17026540,5;
